Species,Small-molecule metabolite or macromolecule,Metabolic activity,Ref. #
Bacteroides pyogenes,Succinate,Production (export),"428, 429, 79(G), 109(G), 280(G), 385(G)"
Bacteroides pyogenes,Sucrose,Consumption (import),429
Bacteroides pyogenes,Trehalose,Consumption (import) (-),429
Bacteroides pyogenes,Xylan,Macromolecule degradation,429
Bacteroides salanitronis,Acetate,Production (export),"46(G), 280(G), 385(G)"
Bacteroides salanitronis,CO2,"Consumption (import), Production (export)",import:85(G);export:622(G)
Bacteroides salanitronis,D-Fructose (Fructose),Consumption (import),85(G)
Bacteroides salanitronis,H2 (Hydrogen),Production (export),"322(G), 622(G)"
Bacteroides salanitronis,"NH3 (Ammonia, NH4+, Ammonium)",Consumption (import),122(G)
Bacteroides salanitronis,Propanoate (Propionate),Production (export),"109(G), 385(G), 622(G)"
Bacteroides salanitronis,Succinate,Production (export),"79(G), 109(G), 280(G), 385(G)"
Bacteroides salyersiae,Acetate,Production (export),"46(G), 280(G), 385(G)"
Bacteroides salyersiae,CO2,"Consumption (import), Production (export)",import:85(G);export:622(G)
Bacteroides salyersiae,D-Fructose (Fructose),Consumption (import),85(G)
Bacteroides salyersiae,H2 (Hydrogen),Production (export),"322(G), 622(G)"
Bacteroides salyersiae,Mannan,Macromolecule degradation,76
Bacteroides salyersiae,"NH3 (Ammonia, NH4+, Ammonium)",Consumption (import),122(G)
Bacteroides salyersiae,Propanoate (Propionate),Production (export),"109(G), 385(G), 622(G)"
Bacteroides salyersiae,Succinate,Production (export),"79(G), 109(G), 280(G), 385(G)"
Bacteroides sp. 2_1_33B,Acetate,Production (export),"46(G), 280(G), 385(G)"
Bacteroides sp. 2_1_33B,CO2,"Consumption (import), Production (export)",import:85(G);export:622(G)
Bacteroides sp. 2_1_33B,D-Fructose (Fructose),Consumption (import),85(G)
Bacteroides sp. 2_1_33B,H2 (Hydrogen),Production (export),"322(G), 622(G)"
Bacteroides sp. 2_1_33B,"NH3 (Ammonia, NH4+, Ammonium)",Consumption (import),122(G)
Bacteroides sp. 2_1_33B,Propanoate (Propionate),Production (export),"109(G), 385(G), 622(G)"
Bacteroides sp. 2_1_33B,Succinate,Production (export),"79(G), 109(G), 280(G), 385(G)"
Bacteroides stercoris,Acetate,Production (export),"80, 105, 46(G), 280(G), 385(G)"
Bacteroides stercoris,CO2,"Consumption (import), Production (export)",import:85(G);export:622(G)
Bacteroides stercoris,D-Fructose (Fructose),Consumption (import),85(G)
Bacteroides stercoris,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",Consumption (import),105
Bacteroides stercoris,Formate,Production (export),"81, 105"
Bacteroides stercoris,"Fructan (Inulin, Levan)",Macromolecule degradation,105
Bacteroides stercoris,H2 (Hydrogen),Production (export),"322(G), 622(G)"
Bacteroides stercoris,Indole,Production (export),105
Bacteroides stercoris,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import),105
Bacteroides stercoris,Mucin (Mucus Glycoprotein),Macromolecule degradation,"86, 419"
Bacteroides stercoris,"NH3 (Ammonia, NH4+, Ammonium)",Consumption (import),122(G)
Bacteroides stercoris,Propanoate (Propionate),Production (export),"105, 109(G), 385(G), 622(G)"
Bacteroides stercoris,Raffinose,Consumption (import),105
Bacteroides stercoris,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,"86, 105"
Bacteroides stercoris,Succinate,Production (export),"81, 79(G), 109(G), 280(G), 385(G)"
Bacteroides stercoris,Xylan,Macromolecule degradation,"86, 105"
Bacteroides thetaiotaomicron,"1,2-Ethanediol (Ethylene glycol)",Production (export),61
Bacteroides thetaiotaomicron,"1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)",Production (export),61
Bacteroides thetaiotaomicron,Acetate,Production (export),"61, 80, 106, 111, 122, 46(G), 280(G), 385(G)"
Bacteroides thetaiotaomicron,"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])",Consumption (import),"85, 97, 121"
Bacteroides thetaiotaomicron,Arabinan,Macromolecule degradation,"61, 72, 116"
Bacteroides thetaiotaomicron,Arabinogalactan,Macromolecule degradation,"72, 86"
Bacteroides thetaiotaomicron,Butylamine,Production (export),98
Bacteroides thetaiotaomicron,CO2,"Consumption (import), Production (export)","import:122, 627, 85(G);export:61, 106, 622(G)"
Bacteroides thetaiotaomicron,Cellobiose,Consumption (import),61
Bacteroides thetaiotaomicron,Chenodeoxycholic acid (Chenodeoxycholate),Consumption (import),119
Bacteroides thetaiotaomicron,Cholic acid (Cholate),Consumption (import),"94, 119"
Bacteroides thetaiotaomicron,Chondroitin 4-sulfate (Chondroitin 6-sulfate),Macromolecule degradation,"61, 72, 79, 96, 107, 109, 119"
Bacteroides thetaiotaomicron,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),"61, 96, 116, 118"
Bacteroides thetaiotaomicron,D-Fructose (Fructose),Consumption (import),"61, 75, 96, 109, 85(G)"
Bacteroides thetaiotaomicron,D-Galactose,Consumption (import),"61, 96, 113, 118"
Bacteroides thetaiotaomicron,D-Galacturonate,Consumption (import),"61, 86, 96"
Bacteroides thetaiotaomicron,D-Glucosamine (Glucosamine),Consumption (import),"86, 96"
Bacteroides thetaiotaomicron,D-Glucose (Glucose),Consumption (import),"61, 85, 96, 118"
Bacteroides thetaiotaomicron,D-Glucuronic acid (D-Glucuronate),Consumption (import),"86, 96"
Bacteroides thetaiotaomicron,D-Lyxose (L-Lyxose),Consumption (import),113
Bacteroides thetaiotaomicron,D-Mannose (Mannose),Consumption (import),"61, 85, 96, 118"
Bacteroides thetaiotaomicron,D-Psicose,Consumption (import),108
Bacteroides thetaiotaomicron,D-Ribose (Ribose),Consumption (import),96
Bacteroides thetaiotaomicron,D-Xylose (Xylose),Consumption (import),"96, 118"
Bacteroides thetaiotaomicron,Deoxycholic acid,Production (export),119
Bacteroides thetaiotaomicron,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",Consumption (import),"61, 113"
Bacteroides thetaiotaomicron,Dimethylamine,Production (export),98
Bacteroides thetaiotaomicron,Ethanol,Production (export),61
Bacteroides thetaiotaomicron,FOS (Fructooligosaccharide),Consumption (import),"42, 75, 96, 101"
Bacteroides thetaiotaomicron,Formate,Production (export),"61, 106, 111"
Bacteroides thetaiotaomicron,"Fructan (Inulin, Levan)",Macromolecule degradation,"96, 111, 112"
Bacteroides thetaiotaomicron,Galactan,Macromolecule degradation,72
Bacteroides thetaiotaomicron,H2 (Hydrogen),Production (export),"61, 322(G), 622(G)"
Bacteroides thetaiotaomicron,"Hemicellulose, not specified",Macromolecule degradation (-),"96, 716"
Bacteroides thetaiotaomicron,"Hyaluronan (Hyaluronate, Hyaluronic acid)",Macromolecule degradation,"61, 72, 96, 107, 119"
Bacteroides thetaiotaomicron,Indole,Production (export),100
Bacteroides thetaiotaomicron,Isobutyrate (2-Methylpropanoic acid),Production (export),61
Bacteroides thetaiotaomicron,Isovalerate (3-Methylbutanoic acid),Production (export),61
Bacteroides thetaiotaomicron,"L-Cysteine (Cysteine, D-Cysteine)",Consumption (import),85
Bacteroides thetaiotaomicron,L-Fucose,Consumption (import),"61, 86, 96, 106, 113"
Bacteroides thetaiotaomicron,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),"61, 111"
Bacteroides thetaiotaomicron,L-Leucine (Leucine),Consumption (import),61
Bacteroides thetaiotaomicron,L-Methionine (D-Methionine),Consumption (import),"61, 85"
Bacteroides thetaiotaomicron,"L-Phenylalanine (Phenylalanine, D-Phenylalanine)",Consumption (import),98
Bacteroides thetaiotaomicron,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import),"61, 96"
Bacteroides thetaiotaomicron,L-Tyrosine (Tyrosine),Consumption (import),114
Bacteroides thetaiotaomicron,"L-Valine (Valine, D-Valine)",Consumption (import),61
Bacteroides thetaiotaomicron,Lithocholic acid,Production (export),119
Bacteroides thetaiotaomicron,Mannan,Macromolecule degradation,"61, 72, 76, 96, 110, 115"
Bacteroides thetaiotaomicron,Menaquinone (Vitamin K2),Production (export),61
Bacteroides thetaiotaomicron,Methanol,Production (export),61
Bacteroides thetaiotaomicron,Mucin (Mucus Glycoprotein),Macromolecule degradation,"28, 29, 30, 61, 72, 73, 86, 96, 109, 110, 115"
Bacteroides thetaiotaomicron,N-Acetyl-D-Glucosamine (N-Acetylglucosamine),Consumption (import),"61, 96"
Bacteroides thetaiotaomicron,N-Acetylgalactosamine (N-Acetyl-D-galactosamine),Consumption (import),"61, 96"
Bacteroides thetaiotaomicron,"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid)",Consumption (import) (-),715
Bacteroides thetaiotaomicron,"NH3 (Ammonia, NH4+, Ammonium)","Consumption (import), Production (export)","import:85, 122(G);export:90"
Bacteroides thetaiotaomicron,Pectin,Macromolecule degradation,"61, 74, 86, 96, 110, 116"
Bacteroides thetaiotaomicron,Phenylacetate,Production (export),61
Bacteroides thetaiotaomicron,Phenylethylamine,Production (export),114
Bacteroides thetaiotaomicron,Polypeptide,Macromolecule degradation,90
Bacteroides thetaiotaomicron,Propanoate (Propionate),Production (export),"61, 90, 106, 110, 111, 122, 109(G), 385(G), 622(G)"
Bacteroides thetaiotaomicron,Putrescine,Production (export),61
Bacteroides thetaiotaomicron,Pyruvate,Production (export),61
Bacteroides thetaiotaomicron,Raffinose,Consumption (import),123
Bacteroides thetaiotaomicron,Spermidine,Production (export),61
Bacteroides thetaiotaomicron,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,"61, 72, 78, 79, 85, 86, 96, 106, 110, 115, 117, 118, 119"
Bacteroides thetaiotaomicron,Succinate,Production (export),"61, 80, 106, 111, 79(G), 109(G), 280(G), 385(G)"
Bacteroides thetaiotaomicron,Trehalose,Consumption (import),"81, 120"
Bacteroides thetaiotaomicron,Trimethylamine,Production (export),98
Bacteroides thetaiotaomicron,Tyramine,Production (export),98
Bacteroides thetaiotaomicron,Urea,Production (export),61
Bacteroides thetaiotaomicron,"Valerate (Pentanoic acid, Pentanoate)",Production (export),90
Bacteroides thetaiotaomicron,XOS (Xylooligosaccharide),Consumption (import),42
Bacteroides thetaiotaomicron,Xylan,Macromolecule degradation (-),"86, 96"
Bacteroides uniformis,Acetate,Production (export),"80, 46(G), 280(G), 385(G)"
Bacteroides uniformis,Arabinogalactan,Macromolecule degradation,736
Bacteroides uniformis,CO2,"Consumption (import), Production (export)",import:85(G);export:622(G)
Bacteroides uniformis,Cellobiose,Consumption (import),81
Bacteroides uniformis,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),81
Bacteroides uniformis,D-Fructose (Fructose),Consumption (import),"75, 85(G)"
Bacteroides uniformis,D-Glucose (Glucose),Consumption (import),81
Bacteroides uniformis,D-Mannose (Mannose),Consumption (import),81
Bacteroides uniformis,D-Xylose (Xylose),Consumption (import),81
Bacteroides uniformis,FOS (Fructooligosaccharide),Consumption (import),101
Bacteroides uniformis,"Fructan (Inulin, Levan)",Macromolecule degradation,"75, 99"
Bacteroides uniformis,H2 (Hydrogen),Production (export),"322(G), 622(G)"
Bacteroides uniformis,"Hemicellulose, not specified",Macromolecule degradation (-),716
Bacteroides uniformis,Indole,Production (export),81
Bacteroides uniformis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),81
Bacteroides uniformis,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import),81
Bacteroides uniformis,Lactose,Consumption (import),81
Bacteroides uniformis,Maltose,Consumption (import),81
Bacteroides uniformis,Mucin (Mucus Glycoprotein),Macromolecule degradation,419
Bacteroides uniformis,"NH3 (Ammonia, NH4+, Ammonium)",Consumption (import),122(G)
Bacteroides uniformis,Propanoate (Propionate),Production (export),"81, 109(G), 385(G), 622(G)"
Bacteroides uniformis,Raffinose,Consumption (import),81
Bacteroides uniformis,Succinate,Production (export),"80, 79(G), 109(G), 280(G), 385(G)"
Bacteroides uniformis,Sucrose,Consumption (import),81
Bacteroides vulgatus,Acetate,Production (export),"80, 46(G), 280(G), 385(G)"
Bacteroides vulgatus,"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])",Consumption (import),85
Bacteroides vulgatus,Arabinogalactan,Macromolecule degradation,86
Bacteroides vulgatus,CO2,"Consumption (import), Production (export)","import:627, 85(G);export:622(G)"
Bacteroides vulgatus,Chenodeoxycholic acid (Chenodeoxycholate),Production (export),92
Bacteroides vulgatus,Cholic acid (Cholate),Production (export),92
Bacteroides vulgatus,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),81
Bacteroides vulgatus,D-Fructose (Fructose),Consumption (import),"75, 85(G)"
Bacteroides vulgatus,D-Galacturonate,Consumption (import),86
Bacteroides vulgatus,D-Glucosamine (Glucosamine),Consumption (import),86
Bacteroides vulgatus,D-Glucose (Glucose),Consumption (import),81
Bacteroides vulgatus,D-Glucuronic acid (D-Glucuronate),Consumption (import),86
Bacteroides vulgatus,D-Mannose (Mannose),Consumption (import),81
Bacteroides vulgatus,D-Xylose (Xylose),Consumption (import),81
Bacteroides vulgatus,Deoxycholic acid,Production (export),92
Bacteroides vulgatus,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",Consumption (import),102
Bacteroides vulgatus,"Fructan (Inulin, Levan)",Macromolecule degradation (-),"75, 99"
Bacteroides vulgatus,H2 (Hydrogen),Production (export),"322(G), 622(G)"
Bacteroides vulgatus,"Hemicellulose, not specified",Macromolecule degradation (-),716
Bacteroides vulgatus,"L-Cysteine (Cysteine, D-Cysteine)",Consumption (import),85
Bacteroides vulgatus,L-Fucose,Consumption (import),86
Bacteroides vulgatus,L-Methionine (D-Methionine),Consumption (import),85
Bacteroides vulgatus,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import),81
Bacteroides vulgatus,Lactose,Consumption (import),81
Bacteroides vulgatus,Maltose,Consumption (import),81
Bacteroides vulgatus,Mannan,Macromolecule degradation,76
Bacteroides vulgatus,Menaquinone (Vitamin K2),Production (export),"125,762"
Bacteroides vulgatus,Mucin (Mucus Glycoprotein),Macromolecule degradation,419
Bacteroides vulgatus,"NH3 (Ammonia, NH4+, Ammonium)","Consumption (import), Production (export)","import:85, 122(G);export:211"
Bacteroides vulgatus,Pectin,Macromolecule degradation,86
Bacteroides vulgatus,Polypeptide,Macromolecule degradation,"90, 119"
Bacteroides vulgatus,Propanoate (Propionate),Production (export),"81, 109(G), 385(G), 622(G)"
Bacteroides vulgatus,Raffinose,Consumption (import),81
Bacteroides vulgatus,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,"85, 86"
Bacteroides vulgatus,Succinate,Production (export),"80, 79(G), 109(G), 280(G), 385(G)"
Bacteroides vulgatus,Sucrose,Consumption (import),81
Bacteroides vulgatus,Tauro-b-muricholic acid,Consumption (import),124
Bacteroides vulgatus,Taurochenodeoxycholate,Consumption (import),92
Bacteroides vulgatus,Taurocholate,Consumption (import),92
Bacteroides vulgatus,Taurodeoxycholate,Consumption (import),92
Bacteroides vulgatus,XOS (Xylooligosaccharide),Consumption (import),42
Bacteroides vulgatus,Xylan,Macromolecule degradation,"86, 99"
Bacteroides vulgatus,beta-Muricholic acid,Production (export),124
Bacteroides xylanisolvens,Acetate,Production (export),"120, 46(G), 280(G), 385(G)"
Bacteroides xylanisolvens,CO2,"Consumption (import), Production (export)",import:85(G);export:622(G)
Bacteroides xylanisolvens,Cellobiose,Consumption (import),120
Bacteroides xylanisolvens,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),120
Bacteroides xylanisolvens,D-Fructose (Fructose),Consumption (import),"120, 85(G)"
Bacteroides xylanisolvens,D-Galactose,Consumption (import),120
Bacteroides xylanisolvens,D-Glucose (Glucose),Consumption (import),120
Bacteroides xylanisolvens,D-Mannitol (Mannitol),Consumption (import),120
Bacteroides xylanisolvens,D-Mannose (Mannose),Consumption (import),120
Bacteroides xylanisolvens,D-Ribose (Ribose),Consumption (import),120
Bacteroides xylanisolvens,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import),120
Bacteroides xylanisolvens,D-Xylose (Xylose),Consumption (import),120
Bacteroides xylanisolvens,Glycerol,Consumption (import),120
Bacteroides xylanisolvens,H2 (Hydrogen),Production (export),"120, 322(G), 622(G)"
Bacteroides xylanisolvens,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import),120
Bacteroides xylanisolvens,Lactose,Consumption (import),120
Bacteroides xylanisolvens,Maltose,Consumption (import),120
Bacteroides xylanisolvens,Mannan,Macromolecule degradation,76
